scope,function,location,operation,dated
np,npcftld,file.info.forms.resolved.npcftld,update,FALSE
np,npphipp,file.info.forms.resolved.npphipp,update,FALSE
np,npchipp,file.info.forms.resolved.npchipp,update,FALSE
np,nppprion,file.info.forms.resolved.nppprion,update,FALSE
np,npcprion,file.info.forms.resolved.npcprion,update,FALSE
np,nppoth1,file.info.forms.resolved.nppoth1,update,FALSE
np,npcoth1,file.info.forms.resolved.npcoth1,update,FALSE
np,npoth1x,file.info.forms.resolved.npoth1x,update,FALSE
np,nppoth2,file.info.forms.resolved.nppoth2,update,FALSE
np,npcoth2,file.info.forms.resolved.npcoth2,update,FALSE
np,npoth2x,file.info.forms.resolved.npoth2x,update,FALSE
np,nppoth3,file.info.forms.resolved.nppoth3,update,FALSE
np,npcoth3,file.info.forms.resolved.npcoth3,update,FALSE
np,npoth3x,file.info.forms.resolved.npoth3x,update,FALSE
np,npartag,file.info.forms.resolved.npartag,update,FALSE
np,npatgsev,file.info.forms.resolved.npatgsev,update,FALSE
np,npatgamy,file.info.forms.resolved.npatgamy,update,FALSE
np,npatgam1,file.info.forms.resolved.npatgam1,update,FALSE
np,npatgam2,file.info.forms.resolved.npatgam2,update,FALSE
np,npatgam3,file.info.forms.resolved.npatgam3,update,FALSE
np,npatgam4,file.info.forms.resolved.npatgam4,update,FALSE
np,npatgam5,file.info.forms.resolved.npatgam5,update,FALSE
np,npatgfrn,file.info.forms.resolved.npatgfrn,update,FALSE
np,npatgfr1,file.info.forms.resolved.npatgfr1,update,FALSE
np,npatgfr2,file.info.forms.resolved.npatgfr2,update,FALSE
np,npatgfr3,file.info.forms.resolved.npatgfr3,update,FALSE
np,npatgfr4,file.info.forms.resolved.npatgfr4,update,FALSE
uds,birthmo,file.info.forms.resolved.birthmo,update,FALSE
uds,birthyr,file.info.forms.resolved.birthyr,update,FALSE
uds,sex,file.info.forms.resolved.sex,update,FALSE
uds,hispanic,file.info.forms.resolved.hispanic,update,FALSE
uds,hispor,file.info.forms.resolved.hispor,update,FALSE
uds,hisporx,file.info.forms.resolved.hisporx,update,FALSE
uds,race,file.info.forms.resolved.race,update,FALSE
uds,racex,file.info.forms.resolved.racex,update,FALSE
uds,racesec,file.info.forms.resolved.racesec,update,FALSE
uds,racesecx,file.info.forms.resolved.racesecx,update,FALSE
uds,raceter,file.info.forms.resolved.raceter,update,FALSE
uds,raceterx,file.info.forms.resolved.raceterx,update,FALSE
uds,primlang,file.info.forms.resolved.primlang,update,FALSE
uds,primlanx,file.info.forms.resolved.primlanx,update,FALSE
uds,educ,file.info.forms.resolved.educ,update,FALSE
uds,maristat,file.info.forms.resolved.maristat,update,FALSE
uds,independ,file.info.forms.resolved.independ,update,FALSE
uds,residenc,file.info.forms.resolved.residenc,update,FALSE
uds,handed,file.info.forms.resolved.handed,update,FALSE
uds,raceaian,file.info.forms.resolved.raceaian,update,FALSE
uds,raceaianx,file.info.forms.resolved.raceaianx,update,FALSE
uds,raceasian,file.info.forms.resolved.raceasian,update,FALSE
uds,ethchinese,file.info.forms.resolved.ethchinese,update,FALSE
uds,ethindia,file.info.forms.resolved.ethindia,update,FALSE
uds,ethfilip,file.info.forms.resolved.ethfilip,update,FALSE
uds,ethvietnam,file.info.forms.resolved.ethvietnam,update,FALSE
uds,ethkorean,file.info.forms.resolved.ethkorean,update,FALSE
uds,ethjapan,file.info.forms.resolved.ethjapan,update,FALSE
uds,ethasnoth,file.info.forms.resolved.ethasnoth,update,FALSE
uds,ethasnothx,file.info.forms.resolved.ethasnothx,update,FALSE
uds,raceblack,file.info.forms.resolved.raceblack,update,FALSE
uds,ethafamer,file.info.forms.resolved.ethafamer,update,FALSE
uds,ethjamaica,file.info.forms.resolved.ethjamaica,update,FALSE
uds,ethhaitian,file.info.forms.resolved.ethhaitian,update,FALSE
uds,ethnigeria,file.info.forms.resolved.ethnigeria,update,FALSE
uds,ethethiop,file.info.forms.resolved.ethethiop,update,FALSE
uds,ethsomali,file.info.forms.resolved.ethsomali,update,FALSE
uds,ethblkoth,file.info.forms.resolved.ethblkoth,update,FALSE
uds,ethblkothx,file.info.forms.resolved.ethblkothx,update,FALSE
uds,ethmexican,file.info.forms.resolved.ethmexican,update,FALSE
uds,ethpuerto,file.info.forms.resolved.ethpuerto,update,FALSE
uds,ethsalva,file.info.forms.resolved.ethsalva,update,FALSE
uds,ethcuban,file.info.forms.resolved.ethcuban,update,FALSE
uds,ethdomin,file.info.forms.resolved.ethdomin,update,FALSE
uds,ethguatem,file.info.forms.resolved.ethguatem,update,FALSE
uds,ethhisoth,file.info.forms.resolved.ethhisoth,update,FALSE
uds,ethhisothx,file.info.forms.resolved.ethhisothx,update,FALSE
uds,racemena,file.info.forms.resolved.racemena,update,FALSE
